Name,Potential_impacts,Cumulative_Impact_probablility,Velocity(km/s),Magnitude,Estimated_Diameter(km),Cum_Palermo_scale,Max_Palermo_scale,Start_year,End_year,Period
(2007 YS56),3,4.2000000000000004e-06,9.14,25.8,0.023,-6.12,-6.39,2104,2113,9
(2008 YV32),12,6.2e-06,8.79,26.4,0.018000000000000002,-6.12,-6.63,2085,2107,22
(2009 VZ39),891,6.900000000000001e-06,6.34,27.9,0.009000000000000001,-6.12,-7.35,2021,2116,95
(2015 RD36),1,2e-08,36.46,22.6,0.1,-6.12,-6.12,2099,2099,0
(2017 DW119),34,1.6e-06,8.71,26.6,0.016,-6.12,-6.41,2023,2113,90
(2016 TQ18),3,6.6e-06,9.59,26.3,0.018000000000000002,-6.13,-6.17,2086,2110,24
(2018 BD),8,6.2e-05,8.89,30.2,0.003,-6.13,-6.13,2032,2092,60
(2008 DA4),2,3.4e-07,11.16,23.9,0.055999999999999994,-6.14,-6.41,2091,2100,9
(2015 BE511),5,5.1e-05,9.87,28.7,0.006,-6.14,-6.27,2057,2103,46
(2021 CC7),5,0.00035,3.99,29.7,0.004,-6.14,-6.14,2100,2118,18
(2001 SB170),2,2.8999999999999998e-08,22.49,22.4,0.11,-6.15,-6.45,2089,2095,6
(2019 UL),15,0.00011,4.24,28.7,0.006,-6.15,-6.36,2088,2117,29
(2018 SD2),33,7.099999999999999e-05,2.85,28.4,0.006999999999999999,-6.15,-6.62,2065,2115,50
(2021 EF3),10,0.00027,3.41,29.3,0.005,-6.15,-6.69,2086,2121,35
(2009 TM8),168,7.6e-05,7.96,28.6,0.006999999999999999,-6.16,-7.54,2079,2116,37
(2007 TX22),57,3.4e-05,8.87,28.4,0.006999999999999999,-6.16,-6.91,2040,2088,48
(2010 CS19),7,4.5e-05,6.82,28.0,0.009000000000000001,-6.16,-6.21,2104,2116,12
(2012 CL17),19,1.4e-06,21.48,25.7,0.024,-6.16,-6.66,2095,2115,20
(2011 WN69),3,2.2e-06,23.03,26.2,0.02,-6.16,-6.38,2038,2109,71
(2013 HT14),3,1.7e-06,20.51,26.3,0.019,-6.17,-6.29,2071,2077,6
(2021 ER),7,1.6e-05,4.29,27.0,0.013999999999999999,-6.17,-6.62,2080,2115,35
(2007 VH189),5,2.8e-08,18.48,23.4,0.073,-6.18,-6.63,2037,2045,8
(2017 UP43),5,7.2000000000000005e-06,7.91,26.4,0.018000000000000002,-6.18,-6.47,2110,2116,6
(2017 DA120),4,7.000000000000001e-10,15.51,20.9,0.23,-6.19,-6.33,2024,2041,17
(2006 SF281),338,1.2e-06,4.55,26.1,0.02,-6.19,-7.7,2023,2116,93
(2016 AZ193),488,2.2e-06,5.05,26.6,0.016,-6.19,-7.15,2021,2114,93
(2020 BB5),10,0.00025,8.82,29.7,0.004,-6.19,-6.2,2092,2119,27
(2020 QJ5),9,7.2000000000000005e-06,9.93,26.8,0.015,-6.19,-6.46,2056,2103,47
(2021 DG),7,0.00016999999999999999,12.9,30.2,0.003,-6.19,-6.38,2044,2072,28
(2002 UV36),1,7.000000000000001e-06,8.06,26.7,0.016,-6.2,-6.2,2087,2087,0
(2020 TO2),2,6.4e-06,12.56,26.5,0.017,-6.2,-6.4,2119,2119,0
(2001 UD5),1,4.0999999999999997e-08,16.73,22.4,0.11,-6.21,-6.21,2107,2107,0
(2016 AB166),3,3.1e-07,21.61,24.4,0.044000000000000004,-6.21,-6.33,2106,2108,2
(2019 CJ4),11,1.9e-06,10.94,25.4,0.027999999999999997,-6.21,-6.7,2075,2116,41
(2005 TA),17,2e-05,4.81,27.2,0.012,-6.22,-6.73,2082,2115,33
(2006 SR131),30,2.8000000000000003e-05,8.46,28.0,0.009000000000000001,-6.22,-6.92,2060,2116,56
(2007 DC),57,1.2e-05,6.75,27.5,0.011000000000000001,-6.22,-6.97,2045,2115,70
(2017 QM33),12,1.1e-05,17.61,27.8,0.01,-6.22,-6.26,2071,2107,36
(2017 DG16),29,0.00015,6.48,29.4,0.004,-6.22,-6.28,2074,2105,31
(2020 OM6),1,1.6e-06,5.05,25.0,0.034,-6.22,-6.22,2106,2106,0
(2008 XU2),1,4.8e-07,9.93,25.6,0.026000000000000002,-6.23,-6.23,2039,2039,0
(2008 VL),632,1.2e-05,9.55,28.0,0.009000000000000001,-6.24,-7.03,2021,2116,95
(2019 MT2),10,5e-06,11.36,26.4,0.018000000000000002,-6.24,-6.64,2079,2109,30
(2019 ED1),15,1.4000000000000001e-05,9.42,27.5,0.011000000000000001,-6.24,-6.79,2070,2103,33
(2011 BU59),10,3.6000000000000003e-06,11.33,26.1,0.02,-6.25,-6.5,2089,2118,29
(2018 FL29),266,8.499999999999999e-05,11.93,30.1,0.003,-6.25,-6.56,2026,2116,90
(2007 US51),8,8.8e-06,15.26,27.2,0.012,-6.26,-6.37,2082,2114,32
(2008 EA9),6,2.3e-05,1.24,27.7,0.01,-6.26,-6.66,2068,2106,38
(2008 KN11),1,3.6e-08,13.83,23.3,0.075,-6.26,-6.26,2046,2046,0
(2016 JA6),7,4.2000000000000004e-06,11.34,26.4,0.018000000000000002,-6.26,-6.48,2081,2117,36
(2017 TW5),5,4.9000000000000005e-06,15.26,27.1,0.013000000000000001,-6.26,-6.33,2072,2115,43
(2020 HF),9,1.6e-06,7.78,25.2,0.031,-6.26,-6.75,2067,2117,50
(2019 FE),2,4e-07,9.93,24.2,0.05,-6.27,-6.44,2095,2118,23
(2015 UR67),1,3.2e-06,11.63,26.3,0.019,-6.27,-6.27,2091,2091,0
(2006 DN),1,3.6e-07,4.0,24.5,0.043,-6.27,-6.27,2056,2056,0
(2003 WT153),57,2.7000000000000002e-05,4.33,28.1,0.008,-6.28,-6.92,2044,2108,64
(2016 EP84),3,1.9e-05,2.33,27.4,0.011000000000000001,-6.28,-6.35,2092,2106,14
(2020 CQ),5,4e-06,15.25,27.0,0.013000000000000001,-6.28,-6.48,2051,2112,61
(2018 LB),11,3.6000000000000003e-06,7.43,26.0,0.022000000000000002,-6.28,-6.8,2092,2116,24
(2021 CJ3),5,8.599999999999999e-06,11.37,27.5,0.011000000000000001,-6.28,-6.44,2062,2081,19
(2004 BN41),3,2.5e-06,7.76,25.8,0.024,-6.29,-6.58,2086,2116,30
(2017 SU17),34,2.8000000000000003e-05,8.32,28.0,0.008,-6.29,-6.83,2069,2117,48
(2008 LD),56,9.300000000000001e-05,4.13,28.9,0.006,-6.29,-7.1,2049,2116,67
(2010 LJ68),17,1.5e-08,9.67,23.1,0.08199999999999999,-6.29,-6.4,2025,2106,81
(2019 NP5),7,2.6000000000000002e-05,5.07,27.6,0.01,-6.29,-6.67,2106,2116,10
(2021 DA2),40,9.7e-05,6.92,29.2,0.005,-6.29,-6.87,2064,2121,57
(2010 TD),5,2.7000000000000004e-06,18.86,26.9,0.013999999999999999,-6.31,-6.66,2072,2091,19
(2020 QF1),1,4e-05,12.42,28.6,0.006,-6.31,-6.31,2102,2102,0
(2021 CU1),29,5.2000000000000004e-05,8.34,28.6,0.006,-6.31,-6.61,2059,2120,61
(2008 VM),1,3.6e-05,10.26,30.2,0.003,-6.32,-6.32,2031,2031,0
(2013 YB),26,7.5e-05,8.95,31.4,0.002,-6.32,-6.67,2022,2063,41
(2015 XR169),146,5.2000000000000004e-05,9.52,28.8,0.006,-6.32,-7.32,2050,2119,69
(2018 CA15),23,4.7e-07,8.37,26.0,0.022000000000000002,-6.32,-6.71,2028,2115,87
(2020 HN),19,3.2e-05,3.44,28.6,0.006,-6.33,-6.53,2055,2119,64
(2004 XB45),2,4.1e-07,17.02,26.3,0.019,-6.34,-6.35,2035,2066,31
(2011 UC64),28,1.7e-05,14.05,27.9,0.009000000000000001,-6.34,-7.0,2093,2115,22
(2018 XR4),5,3.6000000000000003e-06,11.81,26.8,0.015,-6.34,-6.55,2062,2114,52
(2020 WF5),21,1.7e-05,8.62,27.8,0.01,-6.35,-7.1,2082,2118,36
(2018 VC),5,5.400000000000001e-06,4.96,26.3,0.019,-6.35,-6.44,2109,2115,6
(2018 DZ3),3,4.1e-06,10.03,26.4,0.018000000000000002,-6.35,-6.43,2068,2113,45
(2017 WE29),115,1e-06,10.68,25.9,0.022000000000000002,-6.35,-7.22,2024,2117,93
(1998 DK36),17,5.6e-07,6.19,25.0,0.034,-6.36,-6.39,2027,2100,73
(2013 AG69),2,7.2000000000000005e-06,17.35,27.3,0.012,-6.36,-6.51,2119,2119,0
(2013 AB65),11,6.1e-06,24.42,27.6,0.01,-6.36,-6.51,2094,2116,22
(2015 XX378),1,4.9e-07,15.7,24.7,0.038,-6.36,-6.36,2118,2118,0
(2016 TQ2),7,3.1e-06,15.21,26.4,0.017,-6.36,-6.68,2110,2115,5
(2016 WY),10,0.00011999999999999999,3.24,29.2,0.005,-6.36,-6.53,2091,2111,20
(2017 TA5),17,9.4e-06,10.73,27.3,0.012,-6.36,-6.9,2081,2117,36
(2019 AB),5,3.3e-06,9.92,26.2,0.019,-6.36,-6.43,2073,2113,40
(2001 HJ31),1,1.9e-07,11.49,23.6,0.063,-6.37,-6.37,2116,2116,0
(2010 CA),1,7.4e-09,14.7,24.4,0.044000000000000004,-6.37,-6.37,2022,2022,0
(2020 BH),5,4.6e-05,3.08,28.3,0.008,-6.37,-6.54,2104,2120,16
(2021 CZ7),6,2e-05,9.08,28.4,0.006999999999999999,-6.37,-6.56,2040,2117,77
(2020 FD),23,2.6e-06,15.41,27.6,0.01,-6.37,-6.93,2027,2107,80
(2010 UC7),7,5.1e-07,13.28,24.7,0.038,-6.38,-6.95,2112,2112,0
(2011 QF48),2,3.1e-07,19.92,25.3,0.03,-6.38,-6.52,2067,2067,0
(2021 FC1),1,3.6e-07,12.42,24.9,0.036000000000000004,-6.38,-6.38,2073,2073,0
(2008 UY91),45,6e-08,15.12,24.9,0.036000000000000004,-6.39,-6.71,2022,2116,94
(2018 VT5),39,3.6e-05,9.55,28.4,0.006999999999999999,-6.39,-6.7,2085,2117,32
(2009 FP32),16,1e-05,15.04,27.8,0.01,-6.4,-7.01,2073,2117,44
(2016 XL23),3,6.1e-05,9.95,29.3,0.005,-6.4,-6.41,2080,2098,18
(2019 TC2),35,1.8e-05,11.13,27.8,0.009000000000000001,-6.4,-7.14,2110,2119,9
(2011 UL169),5,1.3000000000000001e-05,9.35,28.3,0.006999999999999999,-6.41,-6.46,2057,2066,9
(2011 YQ1),1,1.4e-06,11.65,25.6,0.026000000000000002,-6.41,-6.41,2113,2113,0
(2018 DN4),9,3.6e-07,19.54,28.2,0.008,-6.41,-6.44,2023,2094,71
(2014 OX3),1,1.4000000000000001e-05,12.79,27.7,0.01,-6.42,-6.42,2116,2116,0
(2014 CH13),134,1.3e-07,5.1,24.3,0.047,-6.42,-6.8,2024,2116,92
(2004 RU109),5,8.4e-07,12.93,26.5,0.017,-6.43,-6.77,2038,2053,15
