des,fullname,neo,pha,spkid,moid,e,a,q,i,om,w,ma,tp,per,n,ad
2020 OM6,(2020 OM6),True,False,54049865,,0.158,1.06,0.894,3.73,293,271,215,2459361.689,400,0.901,1.23
2008 XU2,(2008 XU2),True,False,3441169,,0.617,2.46,0.942,2.95,62.4,334,56,2458981.812,1410,0.256,3.97
2008 VL,(2008 VL),True,False,3435551,,0.618,2.42,0.926,2.68,217,143,7.97,2454742.027,1380,0.262,3.92
2019 MT2,(2019 MT2),True,False,3843063,,0.517,1.96,0.945,10.2,105,217,180,2458701.892,1000,0.36,2.97
2019 ED1,(2019 ED1),True,False,3838904,,0.329,0.901,0.605,5.34,342,53.9,126,2459091.525,313,1.15,1.2
2011 BU59,(2011 BU59),True,False,3557752,,0.395,1.26,0.76,3.5,117,279,48.9,2455521.693,514,0.7,1.75
2018 FL29,(2018 FL29),True,False,3802555,,0.513,1.69,0.826,0.103,53.3,63.6,19.9,2458153.027,806,0.447,2.56
2007 US51,(2007 US51),True,False,3391854,,0.632,2.19,0.806,1.47,39.4,298,13.1,2454364.452,1190,0.304,3.58
2008 EA9,(2008 EA9),True,False,3405189,,0.0743,1.05,0.971,0.439,124,343,318,2459246.731,393,0.917,1.13
2008 KN11,(2008 KN11),True,False,3412932,,0.529,1.71,0.805,5.27,89.4,246,192,2459581.671,816,0.441,2.61
2016 JA6,(2016 JA6),True,False,3752782,,0.276,1.09,0.787,16,222,269,87.8,2459099.466,414,0.869,1.39
2017 TW5,(2017 TW5),True,False,3785926,,0.608,1.91,0.75,0.506,33.8,60.8,343,2458088.871,968,0.372,3.08
2020 HF,(2020 HF),True,False,54016545,,0.278,0.882,0.637,0.314,269,72.9,182,2459349.721,303,1.19,1.13
2019 FE,(2019 FE),True,False,3840125,,0.526,1.92,0.908,2.65,177,317,250,2459497.860,969,0.371,2.93
2015 UR67,(2015 UR67),True,False,3732906,,0.647,2.63,0.928,1.14,219,136,82,2458846.367,1550,0.232,4.32
2006 DN,(2006 DN),True,False,3323887,,0.275,1.38,1,0.266,96.6,101,25.4,2459158.689,592,0.608,1.76
2003 WT153,(2003 WT153),True,False,3167367,,0.178,0.894,0.734,0.37,56.6,147,317,2459237.252,309,1.17,1.05
2016 EP84,(2016 EP84),True,False,3745994,,0.173,1.19,0.984,0.819,287,195,276,2459311.274,474,0.759,1.4
2020 CQ,(2020 CQ),True,False,3989413,,0.617,2.28,0.872,12.6,313,228,81.5,2458916.448,1250,0.287,3.68
2018 LB,(2018 LB),True,False,3825059,,0.319,0.825,0.562,0.879,79.5,319,18.9,2459186.103,274,1.32,1.09
2021 CJ3,(2021 CJ3),True,False,54111246,,0.629,2.41,0.892,3.4,311,140,11.3,2459217.643,1360,0.264,3.92
2004 BN41,(2004 BN41),True,False,3174186,,0.518,2.06,0.993,0.399,332,145,2.81,2453022.064,1080,0.333,3.13
2017 SU17,(2017 SU17),True,False,3781916,,0.294,1.23,0.866,1.64,183,112,175,2458959.684,496,0.726,1.59
2008 LD,(2008 LD),True,False,3413076,,0.155,0.892,0.754,6.54,251,201,112,2459104.459,308,1.17,1.03
2010 LJ68,(2010 LJ68),True,False,3529622,,0.454,1.77,0.968,17.1,164,37,19.6,2455315.494,861,0.418,2.58
2019 NP5,(2019 NP5),True,False,3843224,,0.293,0.796,0.563,2.71,280,189,187,2459324.881,260,1.39,1.03
2021 DA2,(2021 DA2),True,False,54124622,,0.201,0.927,0.74,8.39,153,240,25.3,2459177.624,326,1.1,1.11
2010 TD,(2010 TD),True,False,3547770,,0.677,2.18,0.704,3.23,188,100,15.8,2455421.091,1170,0.307,3.65
2021 CU1,(2021 CU1),True,False,54110079,,0.26,0.962,0.712,2.31,323,290,220,2459334.037,344,1.05,1.21
2020 QF1,(2020 QF1),True,False,54051179,,0.61,2.27,0.883,3.3,324,311,10.9,2459042.588,1250,0.289,3.65
2008 VM,(2008 VM),True,False,3435552,,0.393,1.33,0.81,4.09,42,69.2,327,2454824.702,563,0.639,1.86
2013 YB,(2013 YB),True,False,3654983,,0.427,1.55,0.888,0.192,269,230,341,2456686.266,706,0.51,2.21
2015 XR169,(2015 XR169),True,False,3736409,,0.346,1.22,0.795,0.043,265,252,226,2459382.500,490,0.735,1.64
2018 CA15,(2018 CA15),True,False,3799730,,0.619,2.77,1.05,2.25,136,355,2.47,2458150.944,1680,0.214,4.48
2020 HN,(2020 HN),True,False,54016560,,0.137,1.06,0.911,0.586,218,264,291,2459276.603,396,0.908,1.2
2004 XB45,(2004 XB45),True,False,3263661,,0.582,1.55,0.649,3.16,84.9,86.1,76.3,2459050.890,706,0.51,2.45
2011 UC64,(2011 UC64),True,False,3582523,,0.463,1.07,0.576,3.93,212,288,34.2,2459162.021,405,0.889,1.57
2018 XR4,(2018 XR4),True,False,3836905,,0.357,1.14,0.735,10.2,84.5,88.4,180,2458977.227,447,0.806,1.55
2020 WF5,(2020 WF5),True,False,54096095,,0.353,1.38,0.896,4.88,65,309,36.4,2459140.420,595,0.605,1.87
2018 VC,(2018 VC),True,False,3835875,,0.169,1.13,0.936,3.7,36.6,304,323,2459245.721,437,0.825,1.32
2018 DZ3,(2018 DZ3),True,False,3799762,,0.533,2.08,0.971,5.51,345,206,351,2458202.888,1100,0.329,3.19
2017 WE29,(2017 WE29),True,False,3791315,,0.534,2.41,1.12,0.601,267,134,6.4,2458061.244,1360,0.264,3.69
1998 DK36,(1998 DK36),True,False,3184472,,0.416,0.692,0.404,2.02,151,180,183,2450971.788,210,1.71,0.98
2013 AG69,(2013 AG69),True,False,3623999,,0.577,1.47,0.621,2.99,294,86.2,31,2456252.499,650,0.554,2.31
2013 AB65,(2013 AB65),True,False,3623996,,0.75,1.81,0.454,2.44,114,252,19.6,2456258.078,891,0.404,3.17
2015 XX378,(2015 XX378),True,False,3736813,,0.64,2.17,0.783,7.46,95.7,55.3,187,2459763.177,1170,0.307,3.57
2016 WY,(2016 WY),True,False,3763944,,0.173,0.846,0.7,1.92,236,2.45,262,2459277.956,284,1.27,0.992
2016 TQ2,(2016 TQ2),True,False,3760341,,0.564,1.86,0.813,10.2,11.3,296,252,2459478.891,929,0.388,2.91
2017 TA5,(2017 TA5),True,False,3785783,,0.483,1.8,0.929,8.41,14.6,320,14.8,2458004.332,880,0.409,2.67
2019 AB,(2019 AB),True,False,3837546,,0.524,1.93,0.919,5.05,104,33.8,252,2459495.543,981,0.367,2.94
2001 HJ31,(2001 HJ31),True,False,3092298,,0.586,2.07,0.857,2.84,21.4,132,15.5,2451979.663,1090,0.331,3.28
2010 CA,(2010 CA),True,False,3506746,,0.46,1.32,0.712,9.9,135,93.1,22,2459166.658,553,0.651,1.92
2021 CZ7,(2021 CZ7),True,False,54117599,,0.227,1.23,0.952,14.2,328,216,293,2459293.944,499,0.721,1.51
2020 BH,(2020 BH),True,False,3986725,,0.243,1.3,0.986,0.597,107,354,231,2459395.282,543,0.663,1.62
2020 FD,(2020 FD),True,False,54016198,,0.486,1.21,0.623,1.17,358,278,160,2458984.207,487,0.739,1.8
2010 UC7,(2010 UC7),True,False,3550046,,0.567,1.88,0.815,5.18,224,237,343,2455544.405,944,0.381,2.95
2011 QF48,(2011 QF48),True,False,3577068,,0.637,2.13,0.772,21.5,154,113,12.7,2459160.499,1130,0.318,3.48
2008 UY91,(2008 UY91),True,False,3434371,,0.669,2.21,0.73,29.9,214,267,341,2454829.335,1200,0.301,3.68
2018 VT5,(2018 VT5),True,False,3836131,,0.394,1.46,0.882,2.7,43.7,306,96.6,2459028.400,642,0.561,2.03
2009 FP32,(2009 FP32),True,False,3455470,,0.593,1.95,0.793,0.871,18.1,236,344,2454964.866,995,0.362,3.11
2016 XL23,(2016 XL23),True,False,3766012,,0.558,2.1,0.929,1.87,249,146,126,2458810.798,1110,0.324,3.27
2019 TC2,(2019 TC2),True,False,3878573,,0.358,1.28,0.823,8.5,187,108,337,2459234.342,530,0.679,1.74
2011 UL169,(2011 UL169),True,False,3583810,,0.378,1.46,0.909,6.81,212,133,85.9,2459046.634,645,0.558,2.01
2011 YQ1,(2011 YQ1),True,False,3591447,,0.548,1.93,0.873,1.72,266,128,139,2458821.741,982,0.367,2.99
2018 DN4,(2018 DN4),True,False,3799864,,0.679,2.16,0.694,3.8,335,106,14,2458130.278,1160,0.31,3.63
2014 OX3,(2014 OX3),True,False,3674948,,0.563,2,0.875,1.92,123,123,15.9,2456821.663,1040,0.347,3.13
2014 CH13,(2014 CH13),True,False,3661496,,0.149,1.14,0.97,3.63,111,115,292,2456783.087,444,0.811,1.31
2004 RU109,(2004 RU109),True,False,3251887,,0.489,1.53,0.783,5.85,171,251,180,2458854.340,693,0.52,2.28
2006 GU2,(2006 GU2),True,False,3329605,,0.256,1.08,0.803,3.38,197,266,97.9,2459089.106,410,0.879,1.36
2012 UU158,(2012 UU158),True,False,3614981,,0.373,1.1,0.69,5.96,26.8,262,60,2456155.339,421,0.855,1.51
2019 KL,(2019 KL),True,False,3841966,,0.454,1.69,0.922,19,64.4,224,343,2458664.463,802,0.449,2.46
2019 UE4,(2019 UE4),True,False,3879528,,0.415,1.37,0.802,1.14,210,108,290,2459315.059,587,0.613,1.94
2018 LR3,(2018 LR3),True,False,3825158,,0.187,1.2,0.977,0.47,303,8.75,291,2459293.105,481,0.749,1.43
2021 FO1,(2021 FO1),True,False,54132233,,0.318,1.36,0.929,0.629,4.99,222,277,2459333.630,580,0.62,1.8
2021 EW1,(2021 EW1),True,False,54130496,,0.571,2.27,0.974,5.03,166,337,6.16,2459262.119,1250,0.288,3.56
2010 VP139,(2010 VP139),True,False,3551520,,0.308,1.21,0.835,2.7,48.9,290,41.5,2455458.745,484,0.745,1.58
2017 WE28,(2017 WE28),True,False,3789744,,0.267,1.11,0.813,6.72,61.2,279,276,2459299.744,426,0.844,1.4
2019 QS,(2019 QS),True,False,3843578,,0.771,2.44,0.56,4.09,163,262,348,2458769.419,1390,0.258,4.32
2008 GM2,(2008 GM2),True,False,3408244,,0.158,1.05,0.887,4.08,195,278,343,2459219.536,395,0.912,1.22
2008 SH148,(2008 SH148),True,False,3428258,,0.65,2.71,0.948,3.61,202,201,354,2454767.493,1630,0.221,4.47
2019 GK21,(2019 GK21),True,False,3841505,,0.34,0.861,0.568,5.92,19.5,46.6,141,2459086.127,292,1.23,1.15
2017 FW90,(2017 FW90),True,False,3772759,,0.146,1.03,0.883,3.17,10.4,85.9,270,2459296.223,384,0.938,1.18
2005 BS1,(2005 BS1),True,False,3266177,,0.566,1.96,0.852,2.64,114,308,14.6,2453347.896,1000,0.359,3.07
2009 EW,(2009 EW),True,False,3449121,,0.389,1.26,0.768,10.7,346,258,90,2459071.671,515,0.699,1.75
2018 FE3,(2018 FE3),True,False,3802041,,0.21,0.885,0.7,6.88,177,225,226,2459313.889,304,1.18,1.07
2014 XM7,(2014 XM7),True,False,3701879,,0.549,2.02,0.912,10.7,95.1,33.4,17.5,2459149.469,1050,0.343,3.13
2014 SR223,(2014 SR223),True,False,3690389,,0.659,2.57,0.877,1.71,187,123,194,2459892.291,1500,0.239,4.26
2017 AT20,(2017 AT20),True,False,3766665,,0.248,1.05,0.792,4.2,270,93.6,70.3,2457680.418,395,0.912,1.31
2011 YC63,(2011 YC63),True,False,3591893,,0.597,1.53,0.619,10.4,98.3,270,26.8,2455875.984,693,0.519,2.45
2012 CU,(2012 CU),True,False,3597334,,0.506,1.74,0.861,0.311,172,268,322,2459288.949,841,0.428,2.63
2013 PG10,(2013 PG10),True,False,3645307,,0.227,1.08,0.834,0.107,3.84,211,280,2459291.081,409,0.88,1.32
2010 FD,(2010 FD),True,False,3511916,,0.632,2.88,1.06,0.345,22.4,163,73.2,2458838.491,1780,0.202,4.69
2017 UK3,(2017 UK3),True,False,3787635,,0.589,1.98,0.814,1.01,37.1,52.9,31.4,2459111.749,1020,0.353,3.15
2010 FN,(2010 FN),True,False,3512278,,0.211,0.99,0.781,0.124,162,126,242,2459318.190,360,1,1.2
2010 NN,(2010 NN),True,False,3536571,,0.448,1.78,0.983,2.26,283,331,10.9,2455358.106,870,0.414,2.58
2015 EG7,(2015 EG7),True,False,3713273,,0.567,1.98,0.856,0.164,176,57.3,10.8,2459169.977,1010,0.355,3.1
2020 MP1,(2020 MP1),True,False,54017578,,0.489,2,1.02,6.78,94.2,181,60.6,2459027.229,1030,0.35,2.97
2020 WZ3,(2020 WZ3),True,False,54093095,,0.167,1.04,0.871,6.66,239,86.2,99.6,2459092.556,390,0.923,1.22
2008 UA202,(2008 UA202),True,False,3435539,,0.0686,1.03,0.962,0.263,21.1,301,265,2459301.218,384,0.939,1.1
2009 WW7,(2009 WW7),True,False,3477940,,0.262,1.09,0.805,2.53,57.1,274,317,2459249.927,416,0.865,1.38
2012 EP10,(2012 EP10),True,False,3601337,,0.116,1.05,0.928,1.03,348,106,117,2459073.006,393,0.916,1.17
2015 QS8,(2015 QS8),True,False,3726598,,0.506,2.07,1.02,6.8,152,176,280,2459441.661,1090,0.33,3.12
2012 KP24,(2012 KP24),True,False,3604990,,0.369,1.5,0.945,18.5,67.5,221,220,2459460.453,670,0.537,2.05
2008 TS10,(2008 TS10),True,False,3430407,,0.203,1.26,1,1.47,5.64,345,17.9,2454724.853,516,0.698,1.51
2010 NH,(2010 NH),True,False,3536557,,0.54,2.09,0.96,7.5,280,326,179,2458653.848,1100,0.327,3.22
2017 QU34,(2017 QU34),True,False,3781269,,0.622,2.21,0.838,3.13,155,120,13.2,2457951.230,1200,0.299,3.59
2009 WQ25,(2009 WQ25),True,False,3478249,,0.72,2.49,0.697,4.46,44.8,286,14.3,2455101.321,1440,0.251,4.28
2018 LM,(2018 LM),True,False,3825088,,0.197,0.869,0.698,7.09,72.2,20.8,197,2459334.543,296,1.22,1.04
2018 JL1,(2018 JL1),True,False,3824059,,0.177,0.981,0.806,5.15,54.7,287,152,2459051.195,355,1.02,1.15
2017 RN16,(2017 RN16),True,False,3781579,,0.282,1.2,0.863,1.99,170,108,214,2459395.449,481,0.748,1.54
2007 SN6,(2007 SN6),True,False,3386861,,0.688,2.34,0.73,4.75,357,286,13.6,2454317.108,1310,0.275,3.95
2010 TN55,(2010 TN55),True,False,3548892,,0.786,2.29,0.49,0.257,36.1,242,13.6,2455435.624,1270,0.284,4.09
2005 GQ33,(2005 GQ33),True,False,3275977,,0.73,2.33,0.631,1.55,73.7,36.5,14,2453416.903,1300,0.276,4.04
2009 YR,(2009 YR),True,False,3483886,,0.11,0.942,0.838,0.7,87.2,128,249,2459303.224,334,1.08,1.05
2020 PU1,(2020 PU1),True,False,54051013,,0.337,1.36,0.9,0.412,131,253,46.3,2459126.204,578,0.623,1.82
2017 TB,(2017 TB),True,False,3782019,,0.21,1.04,0.823,1.12,191,273,297,2459268.639,388,0.928,1.26
2020 UQ3,(2020 UQ3),True,False,54075988,,0.532,2.06,0.964,2.8,124,202,37,2459089.792,1080,0.334,3.15
2020 OB,(2020 OB),True,False,54048844,,0.698,1.61,0.487,25.5,121,284,335,2459099.570,748,0.481,2.74
2010 XQ,(2010 XQ),True,False,3552692,,0.628,2.71,1.01,7.19,73.4,12.4,357,2455546.049,1630,0.221,4.41
2017 UA45,(2017 UA45),True,False,3788891,,0.167,0.922,0.768,4.21,202,50.4,327,2459230.581,323,1.11,1.08
2019 BO,(2019 BO),True,False,3837934,,0.421,1.64,0.946,2.79,296,150,341,2459240.126,764,0.471,2.33
1997 UA11,(1997 UA11),True,False,3092163,,0.618,2.36,0.902,3.28,213,138,9.54,2450717.311,1330,0.271,3.83
2003 UQ25,(2003 UQ25),True,False,3164414,,0.682,2.54,0.808,2.14,188,276,348,2452988.897,1480,0.243,4.28
2015 CL13,(2015 CL13),True,False,3710218,,0.493,1.63,0.826,11.1,327,239,272,2459385.780,758,0.475,2.43
2021 AH,(2021 AH),True,False,54104249,,0.682,1.68,0.535,0.298,281,280,330,2459266.053,796,0.452,2.83
2011 AZ36,(2011 AZ36),True,False,3555170,,0.466,2,1.07,1.27,244,211,5.98,2455557.314,1030,0.348,2.94
2020 UX,(2020 UX),True,False,54073370,,0.337,1.27,0.842,1.75,26.7,66.8,324,2459193.194,523,0.688,1.7
2019 YM,(2019 YM),True,False,3942364,,0.671,2.16,0.711,2.22,88.8,70.9,98.8,2458881.543,1160,0.31,3.61
2008 OO1,(2008 OO1),True,False,3421512,,0.614,2.43,0.939,9.34,304,314,107,2458788.911,1390,0.26,3.93
2021 FE2,(2021 FE2),True,False,54132432,,0.559,2.15,0.951,6.24,5.69,208,352,2459321.103,1160,0.312,3.36
2020 PU3,(2020 PU3),True,False,54051080,,0.331,1.27,0.847,4.76,133,108,44.6,2459010.944,521,0.692,1.69
2008 XK,(2008 XK),True,False,3441027,,0.685,2.81,0.883,6.15,74.6,42.2,353,2454836.294,1720,0.21,4.73
2015 WP2,(2015 WP2),True,False,3735497,,0.457,1.43,0.779,1.72,58.1,288,11.6,2459180.346,627,0.574,2.09
2021 FT1,(2021 FT1),True,False,54132423,,0.183,1.2,0.981,35.8,2.23,206,271,2459319.895,481,0.749,1.42
2018 QE,(2018 QE),True,False,3826858,,0.247,1.31,0.99,0.183,108,249,179,2458927.847,550,0.655,1.64
2008 BC15,(2008 BC15),True,False,3401100,,0.714,2.21,0.632,3.53,310,263,347,2454541.381,1200,0.3,3.79
2010 JH80,(2010 JH80),True,False,3521854,,0.779,2.09,0.462,21.7,228,253,17.1,2455275.953,1100,0.326,3.72
2013 TV132,(2013 TV132),True,False,3651157,,0.557,2.19,0.971,1.79,192,153,85.4,2458919.641,1180,0.304,3.41
2019 NF7,(2019 NF7),True,False,3843322,,0.594,2.49,1.01,7.37,286,11.3,358,2458682.809,1440,0.25,3.97
2018 VP6,(2018 VP6),True,False,3836162,,0.614,2.38,0.919,3.73,47,318,9.43,2458401.327,1340,0.268,3.84
2019 PG,(2019 PG),True,False,3843475,,0.432,1.75,0.996,2.99,291,336,230,2459506.662,847,0.425,2.51
2014 MB6,(2014 MB6),True,False,3673917,,0.65,2.82,0.989,1.28,107,134,137,2458541.156,1730,0.208,4.66
2006 WM3,(2006 WM3),True,False,3359281,,0.548,1.99,0.9,2.01,89.9,36.3,342,2454114.851,1030,0.351,3.08
1993 UA,(1993 UA),True,False,3092118,,0.524,2.01,0.958,4.65,26.8,330,174,2458698.009,1040,0.346,3.06
1997 TC25,(1997 TC25),True,False,3092161,,0.624,2.59,0.976,0.251,17.9,322,8.14,2450700.019,1520,0.236,4.21
2006 BF56,(2006 BF56),True,False,3314053,,0.799,2.34,0.471,0.961,125,103,39,2459059.045,1310,0.275,4.21
2019 PO1,(2019 PO1),True,False,3843512,,0.061,1.04,0.973,1.12,328,250,195,2459377.217,385,0.935,1.1
2017 RP16,(2017 RP16),True,False,3781596,,0.329,1.12,0.755,2.37,166,90.5,320,2459248.962,436,0.826,1.49
2020 PC,(2020 PC),True,False,54049890,,0.0957,0.933,0.844,0.321,228,241,355,2459205.143,329,1.09,1.02
2005 UL6,(2005 UL6),True,False,3297367,,0.614,2.53,0.978,0.282,272,84.2,9.95,2453639.830,1470,0.245,4.09
2012 BP123,(2012 BP123),True,False,3597093,,0.156,1.12,0.947,2.59,149,273,53.7,2455893.639,434,0.829,1.3
2015 HQ182,(2015 HQ182),True,False,3720863,,0.229,1.11,0.854,3.54,241,162,154,2456948.992,426,0.846,1.36
2020 CK2,(2020 CK2),True,False,3991580,,0.341,1.47,0.972,2.07,140,340,181,2459526.509,654,0.55,1.98
2020 OX5,(2020 OX5),True,False,54049837,,0.496,1.93,0.971,4.82,132,210,349,2459089.059,977,0.369,2.88
2021 EP3,(2021 EP3),True,False,54131349,,0.679,2.1,0.674,7.31,0.744,251,344,2459332.578,1110,0.324,3.52
2016 CH30,(2016 CH30),True,False,3741978,,0.178,0.933,0.766,0.486,346,270,42,2459162.111,329,1.09,1.1
2020 YA1,(2020 YA1),True,False,54100904,,0.109,0.942,0.84,2.4,282,299,235,2459316.674,334,1.08,1.04
2007 CS5,(2007 CS5),True,False,3367721,,0.173,0.98,0.811,0.751,125,261,188,2459369.559,355,1.02,1.15
2020 FA1,(2020 FA1),True,False,54016218,,0.0313,1.03,0.994,3.54,169,126,145,2459047.096,380,0.948,1.06
2019 CM5,(2019 CM5),True,False,3838267,,0.401,1.64,0.982,0.401,116,11.9,323,2459279.101,766,0.47,2.29
2020 SY4,(2020 SY4),True,False,54054649,,0.614,1.88,0.725,0.572,195,245,12.7,2459167.502,938,0.384,3.03
2018 LT5,(2018 LT5),True,False,3825238,,0.641,1.78,0.639,8.33,84.7,83.4,24.3,2458225.940,866,0.416,2.92
2010 UR7,(2010 UR7),True,False,3550083,,0.62,2.29,0.87,3.62,217,130,344,2459257.834,1260,0.285,3.7
2017 RK2,(2017 RK2),True,False,3781415,,0.509,2.01,0.986,0.425,194,184,44.4,2459072.325,1040,0.346,3.03
2013 PS13,(2013 PS13),True,False,3645382,,0.582,1.48,0.617,0.901,140,271,5.69,2459190.130,656,0.549,2.34
2015 GB1,(2015 GB1),True,False,3715511,,0.439,1.75,0.985,2.42,27.6,200,151,2458845.308,849,0.424,2.52
2007 UT3,(2007 UT3),True,False,3389362,,0.4,0.772,0.463,0.631,161,21.1,232,2454482.435,248,1.45,1.08
2014 FE,(2014 FE),True,False,3666235,,0.688,1.92,0.597,2.2,359,88.7,19.5,2456687.117,969,0.372,3.23
2018 RQ4,(2018 RQ4),True,False,3827570,,0.404,1.61,0.962,0.356,262,132,21.8,2459155.252,749,0.481,2.27
2020 GZ1,(2020 GZ1),True,False,54016484,,0.854,2.39,0.348,6.28,194,244,12,2458898.463,1350,0.267,4.43
2018 AU18,(2018 AU18),True,False,3799707,,0.599,2.35,0.94,0.106,71.5,11.9,8.09,2458109.009,1310,0.274,3.75
2019 NX5,(2019 NX5),True,False,3843278,,0.116,0.917,0.811,0.458,112,355,49.8,2459156.088,321,1.12,1.02
2016 FZ13,(2016 FZ13),True,False,3748491,,0.15,0.944,0.803,4.18,184,239,163,2459049.188,335,1.07,1.09
2016 EV84,(2016 EV84),True,False,3746001,,0.178,0.866,0.712,13.6,351,16.1,127,2459096.436,294,1.22,1.02
2018 WJ,(2018 WJ),True,False,3836269,,0.701,2.26,0.677,1.71,56.7,76.1,206,2459731.617,1240,0.29,3.85
2017 HJ,(2017 HJ),True,False,3773986,,0.506,1.29,0.64,1.21,28.1,83.5,216,2459415.368,537,0.67,1.95
2004 DA53,(2004 DA53),True,False,3176187,,0.33,0.884,0.592,5.14,337,50,177,2459051.070,303,1.19,1.18
2019 VH,(2019 VH),True,False,3892196,,0.496,1.94,0.978,5.42,212,161,7.68,2458767.418,988,0.364,2.91
2020 BH3,(2020 BH3),True,False,3986839,,0.398,1.57,0.942,0.44,155,358,152,2458897.706,715,0.503,2.19
2020 TD7,(2020 TD7),True,False,54073332,,0.605,2.44,0.963,0.397,12.7,342,21.8,2459116.365,1390,0.259,3.91
2011 YC40,(2011 YC40),True,False,3591757,,0.42,1.44,0.833,6.43,96.1,299,26.5,2455879.150,629,0.573,2.04
2013 NE24,(2013 NE24),True,False,3645194,,0.662,2.8,0.944,0.408,320,290,220,2459866.637,1710,0.211,4.65
2019 VD,(2019 VD),True,False,3892193,,0.658,2.63,0.901,0.357,229,212,87.7,2458820.288,1560,0.231,4.37
2014 HY198,(2014 HY198),True,False,3698550,,0.198,1.1,0.879,2.5,227,74.8,299,2456847.953,419,0.858,1.31
2014 TL,(2014 TL),True,False,3692289,,0.339,1.13,0.749,3.24,188,90.7,104,2459072.873,440,0.817,1.52
2016 PR66,(2016 PR66),True,False,3757577,,0.446,2.18,1.2,5.56,193,74.8,16.4,2457553.233,1170,0.307,3.15
2020 YM1,(2020 YM1),True,False,54101656,,0.114,0.914,0.81,2.1,278,310,226,2459319.022,319,1.13,1.02
2002 XV90,(2002 XV90),True,False,3145495,,0.377,1.58,0.985,9.98,79.2,356,6.89,2452616.587,726,0.496,2.18
2007 EZ25,(2007 EZ25),True,False,3370494,,0.72,2.13,0.598,5.46,168,268,16.8,2454118.297,1140,0.316,3.67
2020 TK3,(2020 TK3),True,False,54055114,,0.613,2.35,0.91,0.977,28.9,34.7,8.56,2459169.188,1320,0.273,3.79
2020 VK,(2020 VK),True,False,54087421,,0.659,1.7,0.579,1.44,224,84.4,22,2459108.993,810,0.444,2.82
2010 RM80,(2010 RM80),True,False,3545973,,0.199,1.18,0.942,2.36,345,304,56.9,2459126.907,466,0.773,1.41
2010 WW8,(2010 WW8),True,False,3552659,,0.315,1.48,1.01,1.8,252,179,358,2455533.416,655,0.55,1.94
2020 CF2,(2020 CF2),True,False,3991576,,0.19,1.19,0.968,1.15,330,142,254,2459340.545,477,0.755,1.42
2018 BC,(2018 BC),True,False,3797700,,0.0698,1.05,0.975,2.86,297,213,229,2459343.262,392,0.918,1.12
2019 FU1,(2019 FU1),True,False,3840717,,0.712,2.15,0.62,2.4,10.5,90,17,2458523.106,1160,0.312,3.69
2020 HW7,(2020 HW7),True,False,54016809,,0.346,1.29,0.842,0.247,345,155,40.8,2458905.952,534,0.674,1.74
2020 PJ6,(2020 PJ6),True,False,54051166,,0.0993,0.962,0.866,0.809,141,314,7.53,2459193.297,344,1.05,1.06
2009 ST171,(2009 ST171),True,False,3469641,,0.608,2.58,1.01,3.74,187,206,355,2455125.784,1520,0.237,4.16
2006 QK33,(2006 QK33),True,False,3338813,,0.601,2.64,1.05,14.9,151,193,358,2453981.420,1570,0.23,4.23
2015 XP,(2015 XP),True,False,3735631,,0.493,1.88,0.955,4.87,71.6,24.9,333,2459270.775,944,0.381,2.81
2017 DB120,(2017 DB120),True,False,3771593,,0.516,2.2,1.07,4.11,193,31.2,339,2457880.732,1200,0.301,3.34
2011 CF22,(2011 CF22),True,False,3557199,,0.675,1.96,0.635,1.07,138,276,16.7,2455553.225,999,0.36,3.28
2015 BY3,(2015 BY3),True,False,3704148,,0.553,1.42,0.635,2.91,289,92.8,212,2459453.920,618,0.583,2.2
2016 VA18,(2016 VA18),True,False,3765024,,0.307,1.13,0.786,4.51,39.2,278,52.4,2457634.316,441,0.816,1.48
2019 GP21,(2019 GP21),True,False,3841523,,0.494,1.7,0.86,0.333,197,299,19.3,2458534.086,810,0.445,2.54
2017 UM52,(2017 UM52),True,False,3791307,,0.0526,1.05,0.998,3.43,32.7,47.3,318,2458099.388,395,0.911,1.11
2015 FF36,(2015 FF36),True,False,3714122,,0.533,2.09,0.974,0.177,6.09,205,317,2459332.295,1100,0.327,3.2
2020 SN6,(2020 SN6),True,False,54054709,,0.213,1.11,0.873,0.0299,95.8,348,12.3,2459185.887,426,0.844,1.34
2020 QC,(2020 QC),True,False,54051110,,0.656,1.9,0.655,6.1,327,83.4,341,2459128.566,960,0.375,3.15
2018 BP6,(2018 BP6),True,False,3798982,,0.582,2.06,0.861,8.41,135,51.4,337,2459270.612,1080,0.333,3.26
2014 LJ,(2014 LJ),True,False,3673267,,0.139,1.08,0.929,1.05,78.2,91.8,8.47,2459190.878,409,0.88,1.23
2006 UC64,(2006 UC64),True,False,3353631,,0.696,2.01,0.611,6.07,212,268,342,2454084.415,1040,0.345,3.41
2006 UQ216,(2006 UQ216),True,False,3355845,,0.163,1.1,0.924,0.474,218,248,16.1,2459181.600,423,0.85,1.28
2016 JN38,(2016 JN38),True,False,3753584,,0.682,1.93,0.612,4.45,42.1,89.6,19.1,2457460.584,977,0.369,3.24
2016 JB29,(2016 JB29),True,False,3753295,,0.495,1.97,0.996,6.28,82.2,199,222,2459587.745,1010,0.356,2.95
2016 SU2,(2016 SU2),True,False,3759758,,0.42,0.897,0.521,4.76,183,50.1,74.6,2459136.176,310,1.16,1.27
2017 BG92,(2017 BG92),True,False,3767322,,0.258,1.25,0.929,0.35,337,98.7,310,2459271.464,512,0.704,1.57
