des,fullname,neo,pha,spkid,moid,e,a,q,i,om,w,ma,tp,per,n,ad
2017 WW1,(2017 WW1),True,False,3789484,,0.458,1.5,0.812,9.66,59.7,63.9,219,2459463.599,670,0.538,2.18
2009 SD15,(2009 SD15),True,False,3467315,,0.625,2.34,0.876,2.89,357,303,11.6,2455052.523,1300,0.276,3.79
2019 GC6,(2019 GC6),True,False,3840893,,0.175,1.1,0.911,1.25,212,63.9,107,2459074.163,423,0.85,1.3
2019 VC,(2019 VC),True,False,3892184,,0.263,1.35,0.995,1.45,218,170,265,2459351.889,573,0.629,1.7
2009 DM40,(2009 DM40),True,False,3448785,,0.35,1.34,0.874,6.96,154,306,29.7,2454842.544,569,0.632,1.81
2010 SK13,(2010 SK13),True,False,3547611,,0.714,2.46,0.704,1.05,0.874,80.9,226,2459724.480,1410,0.256,4.21
2011 SC108,(2011 SC108),True,False,3579623,,0.743,2.51,0.643,6.88,3.34,82,349,2455876.900,1450,0.249,4.37
2014 WZ365,(2014 WZ365),True,False,3699892,,0.428,0.789,0.451,1.34,262,321,101,2459128.831,256,1.41,1.13
2019 YS,(2019 YS),True,False,3943319,,0.224,1.12,0.867,0.215,273,104,351,2459210.984,431,0.835,1.37
2021 AY2,(2021 AY2),True,False,54104891,,0.668,2.86,0.949,3.17,288,149,5.42,2459198.928,1770,0.204,4.77
2021 AS3,(2021 AS3),True,False,54105093,,0.664,2.24,0.753,7.9,292,108,5.7,2459181.107,1220,0.294,3.73
2019 XR,(2019 XR),True,False,3893863,,0.588,2.41,0.993,2.57,66.5,352,2.71,2458810.204,1370,0.263,3.83
2019 SK9,(2019 SK9),True,False,3873154,,0.693,2.54,0.779,3.31,4.1,295,11.4,2458711.804,1470,0.244,4.29
2017 WE30,(2017 WE30),True,False,3796296,,0.673,2.12,0.695,1.02,65.2,74,346,2458128.007,1130,0.319,3.55
2009 SH1,(2009 SH1),True,False,3467221,,0.246,1.2,0.903,3.32,355,295,41.7,2455037.041,479,0.752,1.49
2009 EH1,(2009 EH1),True,False,3449132,,0.349,1.17,0.76,1.16,159,93.6,310,2454958.316,461,0.781,1.58
2015 RU178,(2015 RU178),True,False,3728374,,0.682,2.3,0.73,6.25,168,107,13.8,2457230.767,1270,0.283,3.86
2007 RC20,(2007 RC20),True,False,3384487,,0.198,0.954,0.765,2.87,165,309,258,2454455.107,341,1.06,1.14
2014 HC196,(2014 HC196),True,False,3698484,,0.569,2.5,1.08,3.69,47.8,117,11.7,2456724.485,1440,0.25,3.92
2012 CQ46,(2012 CQ46),True,False,3599390,,0.437,1.2,0.677,0.62,16.3,28.3,48.7,2455906.157,483,0.746,1.73
2019 UN13,(2019 UN13),True,False,3892165,,0.422,1.45,0.838,1.5,217,242,207,2459470.809,637,0.565,2.06
2014 YP44,(2014 YP44),True,False,3704075,,0.137,0.929,0.801,1.38,63.5,183,221,2457148.485,327,1.1,1.06
2016 VH,(2016 VH),True,False,3763101,,0.273,1.35,0.984,2.73,212,158,239,2459394.195,575,0.626,1.72
2018 PR7,(2018 PR7),True,False,3826619,,0.11,1.03,0.914,4.44,135,86.3,178,2459012.476,380,0.948,1.14
2012 UL171,(2012 UL171),True,False,3615464,,0.143,1.06,0.909,3.17,22.3,92.1,294,2456299.495,400,0.901,1.21
2016 MH3,(2016 MH3),True,False,3759676,,0.24,0.875,0.665,2.78,102,14,132,2457446.047,299,1.2,1.08
2020 CM,(2020 CM),True,False,3989407,,0.63,2.54,0.939,3.43,308,148,6.68,2458853.144,1480,0.244,4.13
2016 DB,(2016 DB),True,False,3744560,,0.325,0.891,0.602,2.89,146,233,0.702,2459199.901,307,1.17,1.18
2012 FN,(2012 FN),True,False,3601410,,0.187,1.22,0.993,3.23,357,148,21.7,2455973.741,493,0.73,1.45
2018 RW,(2018 RW),True,False,3827168,,0.242,0.894,0.677,0.699,167,311,139,2459081.154,309,1.17,1.11
2019 UT5,(2019 UT5),True,False,3879551,,0.642,2.37,0.848,4.71,30.7,307,11,2458743.785,1330,0.27,3.89
2017 YK14,(2017 YK14),True,False,3797759,,0.196,1.23,0.988,3.09,274,181,359,2458114.160,497,0.724,1.47
2019 BZ3,(2019 BZ3),True,False,3838044,,0.579,2.3,0.966,10.7,127,339,200,2459766.518,1270,0.283,3.63
2019 AS5,(2019 AS5),True,False,3837685,,0.392,1.35,0.819,0.701,107,294,117,2459015.254,572,0.63,1.88
