"Object Designation  ","Year Range  ","Potential Impacts  ","Impact Probability (cumulative)","Vinfinity (km/s)","H (mag)","Estimated Diameter (km)","Palermo Scale (cum.)","Palermo Scale (max.)","Torino Scale (max.)",""
"(2020 CK2)","2057-2118","44","5.0e-5","5.18","29.3","0.005","-6.70","-7.52","0","bK20C02K"
"(2020 OX5)","2033-2063","4","1.3e-6","8.88","26.9","0.014","-6.70","-6.90","0","bK20O05X"
"(2021 EP3)","2098-2119","12","1.4e-6","19.51","26.7","0.016","-6.71","-7.16","0","bK21E03P"
"(2016 CH30)","2100-2118","5","1.1e-5","5.46","27.8","0.009","-6.71","-6.75","0","bK16C30H"
"(2020 YA1)","2103-2113","4","4.1e-6","3.32","26.7","0.015","-6.71","-6.88","0","bK20Y01A"
"(2007 CS5)","2096-2110","4","3.1e-7","4.99","24.5","0.042","-6.72","-7.13","0","bK07C05S"
"(2020 FA1)","2118-2119","2","2.9e-6","2.23","26.3","0.018","-6.72","-6.73","0","bK20F01A"
"(2019 CM5)","2046-2099","6","8.0e-6","5.40","27.9","0.009","-6.73","-7.35","0","bK19C05M"
"(2020 SY4)","2061-2113","4","2.9e-6","15.95","27.4","0.011","-6.73","-6.82","0","bK20S04Y"
"(2018 LT5)","2025-2083","5","1.3e-7","19.04","25.0","0.034","-6.74","-6.86","0","bK18L05T"
"(2010 UR7)","2079-2086","3","2.8e-6","13.33","27.4","0.011","-6.74","-7.06","0","bK10U07R"
"(2017 RK2)","2083-2083","1","8.6e-6","7.30","28.0","0.009","-6.74","-6.74","0","bK17R02K"
"(2013 PS13)","2096-2096","1","2.4e-6","17.26","27.3","0.012","-6.74","-6.74","0","bK13P13S"
"(2015 GB1)","2031-2090","4","9.2e-7","7.35","26.6","0.016","-6.74","-7.16","0","bK15G01B"
"(2007 UT3)","2054-2116","8","5.1e-7","9.05","25.7","0.024","-6.75","-7.12","0","bK07U03T"
"(2014 FE)","2034-2081","11","1.6e-6","19.91","27.6","0.010","-6.75","-7.31","0","bK14F00E"
"(2018 RQ4)","2088-2111","10","3.3e-6","6.77","26.9","0.014","-6.75","-7.12","0","bK18R04Q"
"(2020 GZ1)","2040-2040","1","8.2e-8","28.24","26.0","0.021","-6.75","-6.75","0","bK20G01Z"
"(2018 AU18)","2046-2114","12","2.4e-6","9.60","27.4","0.011","-6.76","-6.90","0","bK18A18U"
"(2019 NX5)","2067-2115","15","3.4e-5","1.79","29.1","0.005","-6.76","-6.86","0","bK19N05X"
"(2016 FZ13)","2108-2117","6","2.0e-5","4.30","28.3","0.007","-6.76","-7.11","0","bK16F13Z"
"(2016 EV84)","2056-2096","4","1.9e-6","7.41","26.8","0.015","-6.76","-6.86","0","bK16E84V"
"(2018 WJ)","2045-2072","4","1.2e-6","19.01","27.6","0.010","-6.77","-7.12","0","bK18W00J"
"(2017 HJ)","2070-2117","20","3.3e-6","14.83","27.5","0.011","-6.77","-7.56","0","bK17H00J"
"(2004 DA53)","2111-2112","3","9.0e-6","9.35","27.9","0.009","-6.78","-6.86","0","bK04D53A"
"(2019 VH)","2065-2109","17","5.4e-6","8.22","27.7","0.010","-6.78","-7.29","0","bK19V00H"
"(2020 BH3)","2059-2104","6","1.1e-6","7.12","26.1","0.021","-6.78","-7.23","0","bK20B03H"
"(2020 TD7)","2092-2120","8","2.5e-6","9.05","26.8","0.015","-6.78","-7.28","0","bK20T07D"
"(2011 YC40)","2028-2050","7","5.7e-6","10.92","29.7","0.004","-6.79","-6.84","0","bK11Y40C"
"(2013 NE24)","2059-2112","9","3.4e-6","10.73","27.4","0.011","-6.79","-7.15","0","bK13N24E"
"(2019 VD)","2087-2105","9","4.0e-6","11.19","27.4","0.011","-6.79","-7.34","0","bK19V00D"
"(2014 HY198)","2041-2116","240","4.4e-5","6.53","29.6","0.004","-6.80","-7.36","0","bK14HJ8Y"
"(2014 TL)","2072-2114","8","6.3e-6","10.72","27.8","0.009","-6.80","-6.98","0","bK14T00L"
"(2016 PR66)","2026-2113","23","1.2e-8","10.32","23.3","0.075","-6.80","-7.24","0","bK16P66R"
"(2020 YM1)","2091-2119","18","7.4e-5","3.01","29.6","0.004","-6.80","-7.15","0","bK20Y01M"
"(2002 XV90)","2101-2114","7","4.8e-7","7.63","25.2","0.031","-6.81","-7.05","0","bK02X90V"
"(2007 EZ25)","2087-2087","2","2.1e-7","20.74","25.6","0.026","-6.81","-7.06","0","bK07E25Z"
"(2020 TK3)","2063-2114","8","3.9e-6","11.22","27.4","0.011","-6.81","-7.36","0","bK20T03K"
"(2020 VK)","2071-2097","25","2.5e-6","20.46","27.8","0.009","-6.81","-7.42","0","bK20V00K"
"(2010 RM80)","2085-2116","21","1.1e-5","5.36","27.9","0.009","-6.82","-7.32","0","bK10R80M"
"(2010 WW8)","2021-2112","81","1.4e-7","5.22","26.4","0.018","-6.82","-7.13","0","bK10W08W"
"(2018 BC)","2083-2109","22","5.4e-5","2.04","29.4","0.004","-6.82","-7.69","0","bK18B00C"
"(2019 FU1)","2090-2109","5","1.6e-6","19.80","27.3","0.012","-6.82","-6.96","0","bK19F01U"
"(2020 CF2)","2072-2116","12","7.9e-6","3.18","27.6","0.010","-6.82","-7.20","0","bK20C02F"
"(2020 HW7)","2044-2090","5","1.3e-6","8.75","27.2","0.012","-6.82","-6.89","0","bK20H07W"
"(2020 PJ6)","2076-2101","6","6.2e-7","2.26","25.6","0.026","-6.82","-7.00","0","bK20P06J"
"(2009 ST171)","2066-2066","1","1.2e-6","9.83","26.8","0.015","-6.83","-6.83","0","bK09SH1T"
"(2006 QK33)","2116-2116","1","5.7e-8","12.46","23.6","0.065","-6.83","-6.83","0","bK06Q33K"
"(2015 XP)","2067-2067","1","4.1e-7","8.23","25.8","0.024","-6.83","-6.83","0","bK15X00P"
"(2017 DB120)","2053-2103","7","1.2e-8","14.59","23.0","0.086","-6.85","-7.08","0","bK17DC0B"
"(2011 CF22)","2030-2117","168","5.1e-5","18.80","30.9","0.002","-6.85","-7.59","0","bK11C22F"
"(2015 BY3)","2033-2085","10","1.0e-6","16.59","27.5","0.011","-6.85","-7.32","0","bK15B03Y"
"(2016 VA18)","2022-2116","500","2.5e-6","8.67","28.5","0.007","-6.85","-7.27","0","bK16V18A"
"(2015 FF36)","2059-2077","7","9.5e-7","8.85","26.5","0.017","-6.86","-7.13","0","bK15F36F"
